name,address,latitude,longitude
RR Equipment/RR Crushers,"5550 Charlotte Highway, Lancaster, SC, 29720",34.868054,-80.800129
Eaton - Superchargers - Athens,"695 Indian Hills Road, Athens, GA, 30601",33.966065,-83.34150199999999
Sonix IV Corporation,"4301 Dorchester Road, Chareleston, SC, 29407",32.852831,-80.00522200000002
Lanford Industrial Services,"2901 Highway 72 W, CLINTON, SC, 29325",34.4510604,-81.88351449999999
"Heavy Metal Group, Inc.","710 S. George St., Ludington, MI, 49431",43.94938150000001,-86.44566019999999
ICX/Flir,"7055 Troy Hill Drive, Suite 300, Elkridge, MD, 21075",39.2008659,-76.7550802
"Performance Ink, Inc.","1,000 Atlas Road, Columbia, SC, 29209",33.9569624,-80.9530963
"Performance Ink, Inc.","1,000 Atlas Road, Columbia, SC, 29209",33.9569624,-80.9530963
Transaxle Manufacturing of America,"240 Waterford Park Drive, Rock Hill, SC, 29730",34.9381125,-80.9433531
Augusta Machine and Welding,"1744 Dixon Airline Rd, Augusta, GA, 30906",33.382886,-81.99219699999999
AFCO Fuel Pumps,"1100 Scott's Bridge Road, Anderson, SC, 29621",34.6226713,-82.6119021
REI Automation,"1240 Veterans Road, Columbia, SC, 29209",33.9543562,-80.9619706
3D Systems,"333 Three D Systems Circle, Rock Hill, SC, 29730",34.9248667,-81.02507840000001
CB&I,"VC Summer 2 & 3
14368 State Highway 213, Jenkinsville, SC, 29065",34.2966111,-81.3133055
